steam_id,last_logoff,personastate,total_playtime,game_count,recent_playtime,churn,engagement_ratio,high_value_player,avg_playtime_per_game
76561197982445669,,0.0,0,105,0,0,0.0,0,0.0
76561197982931652,,0.0,1207235,967,2020,0,0.0016732436739792386,1,1247.1435950413222
76561197982957939,,0.0,0,262,0,0,0.0,0,0.0
76561197983126530,,0.0,0,9,0,0,0.0,0,0.0
76561197983340435,,0.0,222837,310,0,1,0.0,1,716.5176848874598
76561197983530126,,0.0,199562,41,208,0,0.0010422773760667056,1,4751.476190476191
76561197984447638,,0.0,367292,262,152,0,0.00041383854307051865,1,1396.5475285171103
76561197984663068,,1.0,0,4234,0,0,0.0,0,0.0
76561197984988853,,4.0,263677,515,959,0,0.003637011809858995,1,511.0019379844961
76561197985041114,,4.0,256977,1404,945,0,0.003677357594813564,1,182.9017793594306
76561197985269009,,0.0,186224,375,298,0,0.0016002147939320713,1,495.27659574468083
76561197985471627,,3.0,379467,550,2343,0,0.006174433680837383,1,688.6878402903811
76561197985591882,,0.0,47013,262,0,1,0.0,1,178.75665399239543
76561197985975371,,0.0,399148,2479,2507,0,0.006280862535043305,1,160.94677419354838
76561197986801621,,3.0,529221,348,1431,0,0.002703969222745842,1,1516.3925501432664
76561197986881795,,0.0,1235528,91,1661,0,0.0013443634265160914,1,13429.652173913044
76561197986978738,,3.0,898854,556,2040,0,0.002269554043755667,1,1613.741472172352
76561197986988739,,1.0,2226759,1293,4470,0,0.002007400887387954,1,1720.8338485316847
76561197987568158,,0.0,371173,57,650,0,0.0017512002457068653,1,6399.5344827586205
76561197987688879,,0.0,972533,1582,1893,0,0.0019464615118854457,1,614.3607075173721
76561197987726522,,0.0,508518,128,1466,0,0.0028828814655892897,1,3942.0
76561197987854681,,0.0,290716,80,0,1,0.0,1,3589.0864197530864
76561197988224161,,1.0,3940267,462,8628,0,0.002189698771758672,1,8510.295896328294
76561197988462221,,0.0,208071,780,302,0,0.0014514206620785113,1,266.416133162612
76561197988774077,,0.0,0,22,0,0,0.0,0,0.0
76561197989643177,,0.0,0,175,0,0,0.0,0,0.0
76561197989701891,,1.0,992394,429,2291,0,0.0023085565727356547,1,2307.893023255814
76561197989732381,,0.0,714059,1459,756,0,0.0010587345601209982,1,489.0815068493151
76561197989792839,,0.0,604699,777,1255,0,0.0020754092938647262,1,777.2480719794345
76561197989816601,,0.0,453359,3656,0,1,0.0,1,123.97019414820892
76561197989935629,,1.0,610786,239,652,0,0.0010674752409596145,1,2544.9416666666666
76561197990406826,,0.0,502243,348,888,0,0.001768064924618313,1,1439.0916905444126
76561197990445029,,4.0,384692,2162,0,1,0.0,1,177.85113268608416
76561197991343223,,3.0,493612,700,2508,0,0.005080903460808366,1,704.154065620542
76561197991348132,,0.0,1211535,1637,3899,0,0.0032182287608457363,1,739.6428571428571
76561197991392287,,0.0,165530,126,0,1,0.0,1,1303.3858267716535
76561197991455997,,1.0,1426339,161,1224,0,0.0008581404153287435,1,8804.561728395061
76561197991518342,,4.0,2071520,1446,5180,0,0.0025005780776540523,1,1431.596406357982
76561197991899002,,0.0,753337,627,0,1,0.0,1,1199.5812101910828
76561197991902571,,0.0,1940757,2211,7404,0,0.003815004240611143,1,877.376582278481
76561197991986263,,1.0,2068233,872,4513,0,0.0021820548351878946,1,2369.1099656357387
76561197992202511,,0.0,0,869,0,0,0.0,0,0.0
76561197992204818,,0.0,354264,1165,1827,0,0.005157156365997205,1,303.8284734133791
76561197992219796,,0.0,201979,513,584,0,0.0028913753837013566,1,392.95525291828795
76561197992676077,,3.0,380654,276,1561,0,0.0041008262074581974,1,1374.2021660649818
76561197992726118,,0.0,284566,1065,1199,0,0.0042134189839299705,1,266.9474671669794
76561197993326281,,0.0,106606,88,1,0,9.380247075707975e-06,1,1197.8202247191011
76561197993364802,,3.0,854420,925,0,1,0.0,1,922.6997840172786
76561197993383645,,0.0,69745,411,102,0,0.0014624494594672095,1,169.28398058252426
76561197993435657,,1.0,211778,949,0,1,0.0,1,222.9242105263158
76561197993480237,,1.0,387348,586,40,0,0.0001032660468982752,1,659.87734241908
76561197993566748,,0.0,551685,563,0,1,0.0,1,978.1648936170212
76561197993917521,,0.0,418506,705,1762,0,0.004210204369341493,1,592.7847025495751
76561197994049999,,4.0,1702494,1391,6465,0,0.0037973679805227032,1,1223.0560344827586
76561197994183048,,1.0,1258153,1645,4493,0,0.003571104968072271,1,764.3699878493317
76561197994272899,,3.0,729113,675,1,0,1.3715276349103158e-06,1,1078.569526627219
76561197994308495,,0.0,4135524,7726,2105,0,0.0005090042981241801,1,535.2043483887667
76561197994331784,,1.0,458811,18,151,0,0.00032911083406711244,1,24147.947368421053
76561197994506162,,1.0,621367,495,1118,0,0.0017992558355113234,1,1252.7560483870968
76561197994586280,,1.0,0,1145,0,0,0.0,0,0.0
76561197994632741,,4.0,239155,276,10,0,4.181371155229223e-05,1,863.3754512635379
76561197994954440,,1.0,528641,382,287,0,0.0005429004884212757,1,1380.2637075718017
76561197995468637,,0.0,545339,1105,402,0,0.0007371548025085268,1,493.07323688969257
